entry_id,contest_id,contest_name,entry_fee,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"3672245601","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"3672245602","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"3672245604","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"3672245607","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","","4) You can not use this form to create new entries"
"3672245609","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","",""
"3672245611","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"3672245614","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119340:Tarik Skubal,127566-119340,P,Tarik,Tarik Skubal,Skubal,44.205882352941174,34,11200,DET@SD,DET,SD,,,,Yes,,P
"3672245616","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-16960:Zack Wheeler,127566-16960,P,Zack,Zack Wheeler,Wheeler,42.625,24,11000,TEX@PHI,PHI,TEX,IL,Shoulder,,,,P
"3672245617","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-135977:Garrett Crochet,127566-135977,P,Garrett,Garrett Crochet,Crochet,44.333333333333336,33,11000,BOS@CIN,BOS,CIN,,,,Yes,,P
"3672245621","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-197980:Paul Skenes,127566-197980,P,Paul,Paul Skenes,Skenes,38.375,32,10800,PIT@NYM,PIT,NYM,,,,Yes,,P
"3672245634","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82550:Hunter Greene,127566-82550,P,Hunter,Hunter Greene,Greene,35.6,20,10400,BOS@CIN,CIN,BOS,IL,Elbow,,,,P
"3672245636","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-80582:Brandon Woodruff,127566-80582,P,Brandon,Brandon Woodruff,Woodruff,36.666666666666664,12,10300,CWS@MIL,MIL,CWS,,,,,,P
"3672245639","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-146687:Hunter Brown,127566-146687,P,Hunter,Hunter Brown,Brown,38.064516129032256,31,10200,LAA@HOU,HOU,LAA,,,,Yes,,P
"3672245640","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-13233:Nathan Eovaldi,127566-13233,P,Nathan,Nathan Eovaldi,Eovaldi,37.45454545454545,22,10000,TEX@PHI,TEX,PHI,,,,Yes,,P
"3672245643","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-52859:Jacob deGrom,127566-52859,P,Jacob,Jacob deGrom,deGrom,34.333333333333336,30,10000,TEX@PHI,TEX,PHI,,,,,,P
"3672245645","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-83157:Ranger Suarez,127566-83157,P,Ranger,Ranger Suarez,Suarez,34.333333333333336,27,9800,BOS@CIN,BOS,CIN,,,,,,P
"3672245648","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-118225:Cristopher Sanchez,127566-118225,P,Cristopher,Cristopher Sanchez,Sanchez,38.705882352941174,34,9800,TEX@PHI,PHI,TEX,,,,Yes,,P
"3672245649","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-83190:Freddy Peralta,127566-83190,P,Freddy,Freddy Peralta,Peralta,33.94444444444444,36,9600,PIT@NYM,NYM,PIT,,,,Yes,,P
"3672245651","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-85599:Framber Valdez,127566-85599,P,Framber,Framber Valdez,Valdez,34.225806451612904,31,9500,DET@SD,DET,SD,,,,,,P
"3672245653","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-163700:Kyle Bradish,127566-163700,P,Kyle,Kyle Bradish,Bradish,38,6,9500,MIN@BAL,BAL,MIN,,,,,,P
"3672245655","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-82607:Trevor Rogers,127566-82607,P,Trevor,Trevor Rogers,Rogers,37.666666666666664,18,9400,MIN@BAL,BAL,MIN,,,,Yes,,P
"3672245657","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79280:Jesus Luzardo,127566-79280,P,Jesus,Jesus Luzardo,Luzardo,34.294117647058826,34,9200,TEX@PHI,PHI,TEX,,,,,,P
"3672245660","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-222820:Nolan McLean,127566-222820,P,Nolan,Nolan McLean,McLean,41,8,9200,PIT@NYM,NYM,PIT,,,,,,P
"3672245662","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119430:Joe Ryan,127566-119430,P,Joe,Joe Ryan,Ryan,33.645161290322584,31,9100,MIN@BAL,MIN,BAL,,,,Yes,,P
"3672245663","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-17064:Sonny Gray,127566-17064,P,Sonny,Sonny Gray,Gray,32.09375,32,9100,BOS@CIN,BOS,CIN,,,,,,P
"3672245666","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-102407:Shane McClanahan,127566-102407,P,Shane,Shane McClanahan,McClanahan,0,1,9000,TB@STL,TB,STL,,,,,,P
"3672245669","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-79951:Nick Pivetta,127566-79951,P,Nick,Nick Pivetta,Pivetta,35.25,32,8800,DET@SD,SD,DET,,,,Yes,,P
"3672245671","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-119329:Nick Lodolo,127566-119329,P,Nick,Nick Lodolo,Lodolo,29.3,30,8800,BOS@CIN,CIN,BOS,IL,Finger,,,,P
"3672245672","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-197981:Jacob Misiorowski,127566-197981,P,Jacob,Jacob Misiorowski,Misiorowski,27.5,18,8800,CWS@MIL,MIL,CWS,,,,Yes,,P
"3672245674","127566-279197667","$6K Thu MLB Wiffle Ball (150 Entries Max)","0.05","","","","","","","","","","",127566-135647:Ryan Pepiot,127566-135647,P,Ryan,Ryan Pepiot,Pepiot,29.35483870967742,31,8700,TB@STL,TB,STL,IL,Hip,,,,P
