GamePk,GameDate,GameTime,PlayerId,FullName,LastName,BatterStand,Side,Team,Opponent,BattingPosition,PlateAppearances,AtBats,Hits,Bases,Strikeouts,Walks,Singles,Doubles,Triples,HomeRuns,RBIs,Runs,StolenBaseAttempts,StolenBaseSuccesses,PointsDK,PointsFD,HomeRunProbability,HitProbability,StolenBaseProbability
822828,2026-04-12,1:37,605137,Josh Bell,Bell,S,A,MIN,TOR,5,4.159,3.66,0.908,1.634,0.727,0.409,0.553,0.165,0.011,0.18,0.549,0.529,0.016,0.013,7.408,9.824,0.167,0.619,0.013
822828,2026-04-12,1:37,621439,Byron Buxton,Buxton,R,A,MIN,TOR,1,4.652,4.137,1.028,2.07,1.192,0.42,0.517,0.225,0.041,0.245,0.539,0.698,0.221,0.179,9.665,12.666,0.223,0.67,0.168
822828,2026-04-12,1:37,623168,Tyler Heineman,Heineman,S,H,TOR,MIN,9,3.491,3.188,0.668,1.056,0.737,0.22,0.437,0.149,0.004,0.077,0.36,0.324,0.019,0.017,4.753,6.226,0.073,0.509,0.016
822828,2026-04-12,1:37,656484,Tristan Gray,Gray,L,A,MIN,TOR,9,3.86,3.533,0.7,1.245,1.171,0.249,0.424,0.143,0.0,0.134,0.436,0.39,0.021,0.016,5.557,7.355,0.127,0.523,0.016
822828,2026-04-12,1:37,660821,Jesus Sanchez,Sanchez,L,H,TOR,MIN,4,4.256,3.745,0.909,1.542,0.968,0.416,0.585,0.159,0.021,0.144,0.538,0.471,0.067,0.054,7.28,9.59,0.135,0.632,0.054
822828,2026-04-12,1:37,662139,Daulton Varsho,Varsho,L,H,TOR,MIN,2,4.362,3.846,0.862,1.57,1.17,0.424,0.512,0.159,0.025,0.166,0.464,0.533,0.095,0.074,7.407,9.758,0.155,0.611,0.071
822828,2026-04-12,1:37,663616,Trevor Larnach,Larnach,L,A,MIN,TOR,2,4.576,3.961,1.002,1.712,0.951,0.506,0.628,0.201,0.009,0.163,0.489,0.591,0.055,0.045,7.995,10.525,0.153,0.666,0.044
822828,2026-04-12,1:37,664770,Nathan Lukes,Lukes,L,H,TOR,MIN,7,4.059,3.632,0.89,1.382,0.608,0.332,0.594,0.187,0.02,0.089,0.433,0.427,0.029,0.022,6.256,8.157,0.084,0.61,0.022
822828,2026-04-12,1:37,665019,Kody Clemens,Clemens,L,A,MIN,TOR,7,4.156,3.653,0.848,1.601,1.078,0.414,0.478,0.17,0.017,0.183,0.529,0.502,0.07,0.055,7.419,9.838,0.17,0.604,0.055
822828,2026-04-12,1:37,665489,Vladimir Guerrero Jr.,Guerrero Jr.,R,H,TOR,MIN,3,4.27,3.664,0.997,1.581,0.612,0.503,0.68,0.181,0.004,0.132,0.468,0.486,0.04,0.031,7.365,9.634,0.126,0.672,0.03
822828,2026-04-12,1:37,665926,Andres Gimenez,Gimenez,L,H,TOR,MIN,1,4.507,4.089,0.956,1.463,0.935,0.317,0.657,0.183,0.023,0.093,0.362,0.52,0.192,0.159,7.191,9.226,0.09,0.654,0.147
822828,2026-04-12,1:37,670242,Matt Wallner,Wallner,L,A,MIN,TOR,4,4.353,3.863,0.821,1.658,1.491,0.405,0.442,0.146,0.007,0.225,0.612,0.539,0.053,0.045,7.705,10.324,0.205,0.582,0.044
822828,2026-04-12,1:37,672960,Kazuma Okamoto,Okamoto,R,H,TOR,MIN,5,4.249,3.768,0.687,1.2,1.467,0.404,0.392,0.186,0.0,0.109,0.405,0.439,0.024,0.02,5.791,7.753,0.105,0.515,0.02
822828,2026-04-12,1:37,676391,Ernie Clement,Clement,R,H,TOR,MIN,8,3.828,3.509,0.89,1.343,0.399,0.225,0.608,0.191,0.012,0.08,0.402,0.385,0.046,0.038,5.885,7.575,0.078,0.626,0.037
822828,2026-04-12,1:37,676914,Davis Schneider,Schneider,R,H,TOR,MIN,6,3.345,2.768,0.619,1.177,0.958,0.505,0.344,0.132,0.004,0.139,0.396,0.42,0.037,0.029,5.904,7.95,0.13,0.469,0.028
822828,2026-04-12,1:37,680777,Ryan Jeffers,Jeffers,R,A,MIN,TOR,6,4.191,3.683,0.858,1.415,0.775,0.414,0.532,0.208,0.003,0.114,0.406,0.479,0.04,0.031,6.557,8.626,0.108,0.609,0.03
822828,2026-04-12,1:37,686797,Brooks Lee,Lee,S,A,MIN,TOR,8,4.045,3.693,0.949,1.481,0.731,0.259,0.635,0.2,0.009,0.105,0.462,0.438,0.046,0.036,6.524,8.456,0.101,0.642,0.035
822828,2026-04-12,1:37,807712,Luke Keaschall,Keaschall,R,A,MIN,TOR,3,4.536,4.055,0.971,1.621,0.664,0.372,0.596,0.237,0.0,0.138,0.499,0.518,0.249,0.205,8.152,10.612,0.13,0.647,0.19
822998,2026-04-12,1:40,545341,Randal Grichuk,Grichuk,R,A,NYY,TB ,6,3.83,3.525,0.818,1.459,0.801,0.228,0.482,0.175,0.015,0.145,0.472,0.394,0.047,0.038,6.275,8.203,0.136,0.584,0.038
822998,2026-04-12,1:40,592450,Aaron Judge,Judge,R,A,NYY,TB ,3,4.489,3.856,1.01,2.087,1.123,0.545,0.522,0.19,0.006,0.292,0.702,0.646,0.097,0.079,9.666,12.898,0.251,0.664,0.076
822998,2026-04-12,1:40,641355,Cody Bellinger,Bellinger,L,A,NYY,TB ,4,4.418,3.954,0.879,1.54,0.681,0.362,0.531,0.181,0.023,0.145,0.529,0.498,0.157,0.134,7.572,9.951,0.136,0.614,0.125
822998,2026-04-12,1:40,641555,J.C. Escarra,Escarra,L,A,NYY,TB ,7,3.964,3.58,0.75,1.117,0.837,0.287,0.532,0.144,0.0,0.074,0.337,0.342,0.04,0.035,5.164,6.695,0.073,0.553,0.034
822998,2026-04-12,1:40,641584,Jake Fraley,Fraley,L,H,TB ,NYY,5,3.849,3.448,0.688,1.053,1.058,0.324,0.46,0.156,0.008,0.065,0.345,0.339,0.159,0.129,5.53,7.2,0.063,0.514,0.121
822998,2026-04-12,1:40,641857,Ryan McMahon,McMahon,L,A,NYY,TB ,8,3.933,3.475,0.701,1.245,1.364,0.39,0.409,0.16,0.009,0.122,0.37,0.406,0.046,0.039,5.852,7.737,0.116,0.525,0.038
822998,2026-04-12,1:40,650490,Yandy Diaz,Diaz,R,H,TB ,NYY,4,4.189,3.703,0.927,1.387,0.665,0.39,0.637,0.201,0.008,0.081,0.432,0.408,0.029,0.023,6.363,8.283,0.079,0.634,0.022
822998,2026-04-12,1:40,656775,Cedric Mullins,Mullins,L,H,TB ,NYY,6,3.92,3.45,0.636,1.04,1.19,0.402,0.398,0.142,0.026,0.07,0.341,0.346,0.197,0.163,5.804,7.604,0.068,0.492,0.152
822998,2026-04-12,1:40,663757,Trent Grisham,Grisham,L,A,NYY,TB ,1,4.736,4.031,0.868,1.522,1.144,0.614,0.545,0.152,0.011,0.16,0.441,0.604,0.142,0.123,8.013,10.619,0.148,0.6,0.118
822998,2026-04-12,1:40,665862,Jazz Chisholm,Chisholm,L,A,NYY,TB ,5,4.313,3.871,0.802,1.515,1.22,0.352,0.459,0.142,0.03,0.17,0.528,0.49,0.318,0.264,8.093,10.602,0.158,0.582,0.235
