team,full_name,position,opponent,salary,dfs_avg,bust_pct,upside,pts_per_k
CHC,Nico Hoerner,2B,CHC,4600.0,10.75,0.1,22,2.34
CHC,Michael Busch,1B,CHC,4700.0,10.69,0.1,23,2.27
PIT,Brandon Lowe,2B,CHC,4500.0,10.46,0.15,23,2.32
PIT,Oneil Cruz,OF,CHC,5000.0,10.36,0.16,23,2.07
NYY,Aaron Judge,OF,TB,6500.0,10.19,0.14,23,1.57
KC,Bobby Witt Jr.,SS,KC,6100.0,10.18,0.13,22,1.67
PIT,Ryan O&#039;HearnR. O&#039;Hearn,1B/OF,CHC,4000.0,10.17,0.13,22,2.54
CHC,Pete Crow,OF,CHC,5700.0,9.97,0.16,23,1.75
KC,Maikel Garcia,3B,KC,4900.0,9.63,0.1,20,1.97
KC,Vinnie Pasquantino,1B,KC,4200.0,9.42,0.14,21,2.24
CHC,Ian Happ,OF,CHC,4000.0,9.41,0.12,21,2.35
MIN,Byron Buxton,OF,TOR,4900.0,9.41,0.18,21,1.92
CHC,Alex Bregman,3B,CHC,4400.0,9.24,0.11,21,2.1
LAD,Shohei Ohtani,1B/OF,LAD,6500.0,9.11,0.2,21,1.4
KC,Salvador Perez,C,KC,3600.0,9.01,0.17,21,2.5
PIT,Bryan Reynolds,OF,CHC,4100.0,8.96,0.16,21,2.19
ARI,Corbin Carroll,OF,PHI,5900.0,8.82,0.14,19,1.49
PHI,Kyle Schwarber,OF,PHI,6200.0,8.81,0.12,20,1.42
ARI,Geraldo Perdomo,SS,PHI,4500.0,8.8,0.11,19,1.96
MIL,William Contreras,C,MIL,5100.0,8.74,0.14,19,1.71
MIL,Christian Yelich,OF,MIL,5600.0,8.61,0.14,19,1.54
PHI,Bryce Harper,1B,PHI,5200.0,8.61,0.14,19,1.66
CHC,Carson Kelly,C,CHC,3200.0,8.59,0.14,20,2.68
PIT,Marcell Ozuna,OF,CHC,3200.0,8.56,0.17,20,2.68
MIL,Brice Turang,2B,MIL,5300.0,8.56,0.16,19,1.62
TEX,Corey Seager,SS,LAD,4100.0,8.56,0.13,19,2.09
CHW,Lenyn Sosa,1B,KC,2500.0,8.47,0.19,20,3.39
BOS,Jarren Duran,OF,STL,4700.0,8.47,0.16,19,1.8
PIT,Spencer Horwitz,1B,CHC,3100.0,8.41,0.16,20,2.71
MIN,Luke Keaschall,2B,TOR,4300.0,8.38,0.17,19,1.95
MIL,Jake Bauers,1B,MIL,3900.0,8.36,0.17,20,2.14
PIT,Nick Gonzales,2B/3B,CHC,3000.0,8.27,0.18,19,2.76
LAA,Zach Neto,SS,CIN,4800.0,8.25,0.2,20,1.72
CHC,Dansby Swanson,SS,CHC,3400.0,8.24,0.18,20,2.42
PHI,Trea Turner,SS,PHI,5400.0,8.22,0.17,18,1.52
BAL,Gunnar Henderson,SS,BAL,5800.0,8.19,0.14,18,1.41
NYY,Jazz Chisholm,2B,TB,4100.0,8.14,0.23,19,1.99
NYM,Francisco Lindor,SS,NYM,5100.0,8.13,0.16,18,1.59
BOS,Roman Anthony,OF,STL,5200.0,8.12,0.12,18,1.56
PIT,Konnor Griffin,SS,CHC,3100.0,8.11,0.23,20,2.62
NYY,Trent Grisham,OF,TB,3700.0,8.1,0.17,19,2.19
WAS,James Wood,OF,MIL,5400.0,8.02,0.17,19,1.49
BOS,Willson Contreras,1B,STL,4100.0,7.99,0.14,18,1.95
STL,Ivan Herrera,C,STL,3700.0,7.93,0.13,17,2.14
SD,Fernando Tatis Jr.,OF,SD,5500.0,7.89,0.18,18,1.43
CHW,Miguel Vargas,3B,KC,3500.0,7.89,0.16,19,2.25
TEX,Brandon Nimmo,OF,LAD,4000.0,7.86,0.16,18,1.97
MIN,Matt Wallner,OF,TOR,3200.0,7.86,0.23,19,2.46
SD,Jackson Merrill,OF,SD,4700.0,7.85,0.17,18,1.67
SD,Ramon Laureano,OF,SD,4100.0,7.81,0.19,18,1.9
SEA,Brendan Donovan,3B,SEA,4300.0,7.78,0.14,18,1.81
NYY,Cody Bellinger,OF,TB,4400.0,7.78,0.22,19,1.77
PHI,Bryson Stott,2B,PHI,3500.0,7.76,0.17,17,2.22
ARI,Ketel Marte,2B,PHI,5300.0,7.73,0.16,17,1.46
CIN,Elly De La Cruz,SS,CIN,6000.0,7.73,0.18,17,1.29
LAA,Mike Trout,OF,CIN,5500.0,7.73,0.15,18,1.41
WAS,Luis Garcia,1B,MIL,3200.0,7.69,0.24,19,2.4
BOS,Wilyer Abreu,OF,STL,4800.0,7.68,0.18,18,1.6
MIL,David Hamilton,2B/SS,MIL,3900.0,7.64,0.26,18,1.96
MIN,Trevor Larnach,OF,TOR,2900.0,7.62,0.16,18,2.63
TOR,Daulton Varsho,OF,TOR,4100.0,7.58,0.2,18,1.85
BAL,Pete Alonso,1B,BAL,4900.0,7.57,0.13,16,1.54
KC,Isaac Collins,OF,KC,2700.0,7.55,0.17,18,2.8
SEA,Julio Rodriguez,OF,SEA,4600.0,7.54,0.21,18,1.64
STL,Jordan Walker,OF,STL,3200.0,7.53,0.18,18,2.35
BOS,Trevor Story,SS,STL,3700.0,7.5,0.21,17,2.03
NYY,Ben Rice,1B,TB,5300.0,7.49,0.2,19,1.41
CHC,Moises Ballesteros,C,CHC,3200.0,7.49,0.21,18,2.34
CIN,Matt Mc,2B,CIN,3800.0,7.48,0.16,16,1.97
MIL,Garrett Mitchell,OF,MIL,3500.0,7.47,0.22,18,2.13
HOU,Jeremy Pena,SS,SEA,4800.0,7.45,0.23,18,1.55
TOR,Vladimir Guerrero Jr.,1B,TOR,5500.0,7.42,0.15,17,1.35
LAA,Jo Adell,OF,CIN,3900.0,7.41,0.2,18,1.9
KC,Carter Jensen,C,KC,4100.0,7.4,0.17,18,1.8
SD,Manny Machado,3B,SD,4900.0,7.4,0.18,18,1.51
BAL,Taylor Ward,OF,BAL,4700.0,7.38,0.12,16,1.57
CHW,Colson Montgomery,3B/SS,KC,4300.0,7.37,0.23,19,1.71
SF,Willy Adames,SS,BAL,4200.0,7.36,0.14,16,1.75
BAL,Tyler O&#039;NeillT. O&#039;Neill,OF,BAL,3700.0,7.36,0.17,17,1.99
CIN,TJ FriedlT. Friedl,OF,CIN,3700.0,7.33,0.16,17,1.98
MIN,Josh Bell,1B,TOR,3700.0,7.33,0.2,18,1.98
SEA,Cal Raleigh,C,SEA,5100.0,7.33,0.18,18,1.44
STL,JJ WetherholtJ. Wetherholt,2B,STL,4400.0,7.32,0.19,16,1.66
KC,Jonathan India,2B,KC,3500.0,7.28,0.14,17,2.08
PHI,Alec Bohm,3B,PHI,4200.0,7.27,0.13,16,1.73
STL,Alec Burleson,1B,STL,4300.0,7.26,0.16,17,1.69
SF,Matt Chapman,3B,BAL,4000.0,7.26,0.13,15,1.82
SF,Rafael Devers,1B,BAL,5100.0,7.23,0.16,17,1.42
HOU,Yordan Alvarez,OF,SEA,6100.0,7.17,0.2,18,1.18
TB,Chandler Simpson,OF,TB,4000.0,7.15,0.23,16,1.79
TOR,Jesus Sanchez,OF,TOR,3500.0,7.15,0.19,17,2.04
TEX,Jake Burger,1B,LAD,3800.0,7.15,0.23,18,1.88
MIL,Sal Frelick,OF,MIL,4200.0,7.08,0.19,16,1.69
PHI,Brandon Marsh,OF,PHI,3600.0,7.07,0.22,17,1.96
ATH,Lawrence Butler,OF,NYM,3400.0,7.07,0.2,16,2.08
STL,Nolan Gorman,3B,STL,3600.0,7.05,0.18,17,1.96
SF,Luis Arraez,2B,BAL,4000.0,7.04,0.16,15,1.76
TB,Junior Caminero,3B,TB,5300.0,7.0,0.21,17,1.32
CHW,Chase Meidroth,2B,KC,3400.0,7.0,0.18,16,2.06
WAS,C.J. AbramsC. Abrams,SS,MIL,5200.0,6.99,0.27,18,1.34
SEA,Randy Arozarena,OF,SEA,4200.0,6.99,0.18,16,1.66
PHI,Adolis Garcia,OF,PHI,3300.0,6.99,0.22,17,2.12
CIN,Eugenio Suarez,3B,CIN,4700.0,6.98,0.2,17,1.49
NYM,Bo Bichette,3B,NYM,3900.0,6.94,0.18,16,1.78
NYM,Luis Robert,OF,NYM,5300.0,6.94,0.18,16,1.31
SEA,Josh Naylor,1B,SEA,3600.0,6.93,0.18,16,1.93
TOR,Nathan Lukes,OF,TOR,2800.0,6.92,0.2,16,2.47
NYY,Giancarlo Stanton,OF,TB,4100.0,6.9,0.25,18,1.68
KC,Jac Caglianone,OF,KC,3300.0,6.9,0.19,17,2.09
CIN,Spencer Steer,OF,CIN,2900.0,6.89,0.2,17,2.38
LAD,Kyle Tucker,OF,LAD,6000.0,6.88,0.23,17,1.15
NYY,Jose Caballero,SS,TB,3000.0,6.79,0.29,16,2.26
ARI,Ildemaro Vargas,1B/2B,PHI,3700.0,6.77,0.18,15,1.83
CIN,Will Benson,OF,CIN,3000.0,6.76,0.23,17,2.25
WAS,Daylen Lile,OF,MIL,3900.0,6.75,0.24,16,1.73
HOU,Jose Altuve,2B,SEA,5300.0,6.74,0.25,17,1.27
HOU,Christian Walker,1B,SEA,4500.0,6.7,0.25,18,1.49
CHW,Munetaka Murakami,1B,KC,4600.0,6.7,0.23,18,1.46
BOS,Ceddanne Rafaela,OF,STL,3000.0,6.68,0.23,15,2.23
TB,Jonathan Aranda,1B,TB,4200.0,6.66,0.21,17,1.59
LAD,Freddie Freeman,1B,LAD,5200.0,6.62,0.24,17,1.27
TOR,Andres Gimenez,SS,TOR,3300.0,6.61,0.24,16,2.0
MIA,Xavier Edwards,2B,DET,5000.0,6.59,0.24,15,1.32
MIA,Otto Lopez,SS,DET,4400.0,6.58,0.22,15,1.5
MIA,Agustin Ramirez,C,DET,4000.0,6.58,0.23,16,1.65
BOS,Caleb Durbin,3B,STL,2600.0,6.58,0.21,15,2.53
SEA,Luke Raley,OF,SEA,3300.0,6.58,0.23,17,1.99
CIN,Sal Stewart,1B,CIN,4500.0,6.57,0.21,16,1.46
TEX,Evan Carter,OF,LAD,3200.0,6.56,0.22,16,2.05
TEX,Joc Pederson,OF,LAD,2100.0,6.56,0.23,17,3.12
HOU,Carlos Correa,3B/SS,SEA,4200.0,6.54,0.22,16,1.56
SD,Miguel Andujar,3B/OF,SD,2800.0,6.47,0.21,15,2.31
MIN,Brooks Lee,SS,TOR,2400.0,6.46,0.23,16,2.69
CHW,Derek Hill,OF,KC,2200.0,6.45,0.29,16,2.93
SF,Heliot Ramos,OF,BAL,3000.0,6.45,0.22,15,2.15
LAA,Yoan Moncada,3B,CIN,3300.0,6.43,0.22,17,1.95
TOR,Ernie Clement,2B,TOR,2900.0,6.43,0.21,15,2.22
LAA,Jorge Soler,OF,CIN,3600.0,6.39,0.21,16,1.78
TEX,Josh Smith,2B,LAD,2600.0,6.39,0.2,15,2.46
NYM,Jorge Polanco,1B,NYM,3800.0,6.38,0.22,16,1.68
MIA,Jakob Marsee,OF,DET,4600.0,6.36,0.25,15,1.38
SF,Jerar Encarnacion,1B/OF,BAL,2700.0,6.35,0.22,15,2.35
MIL,Blake Perkins,OF,MIL,2400.0,6.31,0.25,16,2.63
LAD,Will Smith,C,LAD,4000.0,6.31,0.21,16,1.58
KC,Kyle Isbel,OF,KC,3100.0,6.3,0.21,15,2.03
HOU,Isaac Paredes,2B/3B,SEA,4000.0,6.27,0.24,16,1.57
STL,Victor Scott,OF,STL,3100.0,6.26,0.25,15,2.02
DET,Riley Greene,OF,DET,4500.0,6.26,0.23,16,1.39
NYY,Austin Wells,C,TB,2600.0,6.25,0.29,17,2.4
SD,Xander Bogaerts,SS,SD,4000.0,6.23,0.23,15,1.56
TB,Cedric Mullins,OF,TB,2800.0,6.22,0.25,15,2.22
BOS,Marcelo Mayer,2B,STL,2500.0,6.22,0.23,16,2.49
DET,Gleyber Torres,2B,DET,3600.0,6.15,0.19,14,1.71
ARI,Nolan Arenado,3B,PHI,3100.0,6.13,0.21,14,1.98
TEX,Danny Jansen,C,LAD,2800.0,6.12,0.21,15,2.19
SEA,J.P. CrawfordJ. Crawford,SS,SEA,2600.0,6.11,0.18,14,2.35
LAD,Max Muncy,3B,LAD,4100.0,6.09,0.27,16,1.49
DET,Colt Keith,1B/3B,DET,4100.0,6.09,0.23,15,1.49
WAS,Brady House,3B,MIL,3200.0,6.07,0.27,16,1.9
CHW,Edgar Quero,C,KC,2300.0,6.04,0.21,14,2.63
DET,Kevin Mc,3B/SS,DET,4600.0,6.03,0.22,14,1.31
NYM,Marcus Semien,2B,NYM,3100.0,6.01,0.23,15,1.94
DET,Kerry Carpenter,OF,DET,4200.0,5.99,0.24,15,1.43
CHW,Luisangel Acuna,OF/SS,KC,2600.0,5.99,0.27,15,2.3
LAD,Teoscar Hernandez,OF,LAD,4500.0,5.97,0.29,16,1.33
WAS,Nasim Nunez,2B,MIL,3400.0,5.97,0.31,16,1.76
ATH,Nick Kurtz,1B,NYM,5000.0,5.96,0.19,15,1.19
TB,Yandy Diaz,1B/3B,TB,4800.0,5.93,0.21,14,1.24
BAL,Samuel Basallo,C,BAL,3100.0,5.93,0.23,14,1.91
ATH,Shea Langeliers,C,NYM,5500.0,5.92,0.26,16,1.08
LAA,Oswald Peraza,2B,CIN,2300.0,5.9,0.28,15,2.57
ARI,Adrian Del Castillo,C,PHI,2800.0,5.89,0.25,14,2.1
TEX,Josh Jung,3B,LAD,2300.0,5.88,0.26,15,2.56
BAL,Dylan Beavers,OF,BAL,2500.0,5.88,0.22,14,2.35
NYM,Brett Baty,1B/OF,NYM,4000.0,5.86,0.23,14,1.47
