team,stadium,park_runs,park_hits,park_hr,park_xbh,park_1b,park_k,park_bb
MIL,American Family Fld,90,93,105,87,92,109,103
LAA,Angel Stadium,99,100,107,93,100,104,99
STL,Busch Stadium,95,100,88,98,103,95,94
ARI,Chase Field,102,102,92,113,101,98,98
NYM,Citi Field,91,94,96,85,97,107,105
PHI,Citizens Bank Park,103,100,113,97,99,105,101
DET,Comerica Park,99,100,90,99,102,94,101
COL,Coors Field,132,114,116,128,110,89,102
HOU,Daikin Park,97,99,108,92,99,105,99
LAD,Dodger Stadium,100,99,118,98,96,103,93
BOS,Fenway Park,112,108,94,121,106,94,100
TEX,Globe Life Field,95,97,97,92,99,102,101
CIN,Great American BP,110,102,122,102,98,105,105
KC,Kauffman Stadium,107,101,110,100,100,91,102
MIA,LoanDepot Park,99,100,88,107,101,100,102
WAS,Nationals Park,104,103,105,103,102,98,96
SF,Oracle Park,97,102,84,109,103,97,95
BAL,Oriole Park,109,106,98,107,108,96,98
SD,Petco Park,97,98,99,93,99,103,104
PIT,PNC Park,100,100,86,112,99,93,103
CLE,Progressive Field,97,97,98,99,96,101,103
CHW,Rate Field,97,98,100,91,100,101,102
TOR,Rogers Centre,97,98,102,96,99,99,96
ATH,Sutter Health Park,115,106,120,115,100,100,101
SEA,T-Mobile Park,87,93,100,84,94,111,100
MIN,Target Field,103,101,94,102,103,98,104
TB,Tropicana Field,93,96,97,96,96,108,102
ATL,Truist Park,93,98,96,94,99,102,98
CHC,Wrigley Field,96,97,101,92,98,101,104
NYY,Yankee Stadium,97,96,108,88,96,102,105
