GamePk,GameDate,GameTime,PlayerId,FullName,LastName,PitcherHand,Side,Team,Opponent,BattersFaced,Innings,WinPct,LossPct,NdPct,QualityStart,PointsDK,PointsFD,RunsAllowed,HitsAllowed,Strikeouts,Walks,HomeRunsAllowed,StolenBasesAllowed
822828,2026-04-12,1:37,453286,Max Scherzer,Scherzer,R,H,TOR,MIN,22.269,5.179,0.187,0.381,0.705,0.279,12.421,23.921,2.73,4.841,4.779,1.961,1.057,0.293
822828,2026-04-12,1:37,671737,Taj Bradley,Bradley,R,A,MIN,TOR,22.519,5.404,0.362,0.223,0.61,0.396,16.325,29.848,2.055,4.409,5.349,2.067,0.591,0.192
822998,2026-04-12,1:40,656876,Drew Rasmussen,Rasmussen,R,H,TB ,NYY,22.289,5.421,0.18,0.372,0.681,0.347,15.041,27.4,2.23,4.227,5.119,1.886,0.835,0.639
822998,2026-04-12,1:40,693645,Cam Schlittler,Schlittler,R,A,NYY,TB ,23.042,5.71,0.377,0.205,0.576,0.519,19.326,34.33,1.754,4.244,6.041,1.821,0.398,0.682
823075,2026-04-12,2:15,669467,Andre Pallante,Pallante,R,H,STL,BOS,23.528,5.426,0.262,0.35,0.608,0.376,10.49,22.085,2.573,5.041,3.482,2.626,0.496,0.708
823075,2026-04-12,2:15,678394,Brayan Bello,Bello,R,A,BOS,STL,21.988,5.015,0.291,0.29,0.692,0.262,9.591,20.075,2.441,4.682,3.187,2.577,0.501,0.468
823154,2026-04-12,4:10,669302,Logan Gilbert,Gilbert,R,H,SEA,HOU,23.8,5.888,0.342,0.256,0.536,0.5,17.47,31.579,2.136,4.843,5.422,1.409,0.81,0.277
823154,2026-04-12,4:10,675989,Cody Bolton,Bolton,R,A,HOU,SEA,18.921,4.334,0.137,0.316,0.901,0.074,11.496,21.429,1.955,3.723,4.391,2.411,0.47,0.249
823317,2026-04-12,4:10,601713,Nick Pivetta,Pivetta,R,H,SD ,COL,24.332,6.221,0.451,0.177,0.454,0.625,25.555,43.41,1.632,3.837,8.145,1.768,0.67,0.379
823317,2026-04-12,4:10,607536,Kyle Freeland,Freeland,L,A,COL,SD ,22.965,5.405,0.17,0.465,0.642,0.387,12.571,24.669,2.458,5.362,4.421,1.642,0.636,0.467
823479,2026-04-12,1:35,668678,Zac Gallen,Gallen,R,A,ARI,PHI,23.085,5.409,0.282,0.328,0.632,0.395,12.516,24.733,2.408,4.804,4.153,2.327,0.68,0.511
823479,2026-04-12,1:35,691725,Andrew Painter,Painter,R,H,PHI,ARI,22.265,5.222,0.273,0.279,0.672,0.321,13.144,25.198,2.089,4.706,4.291,2.145,0.464,0.438
