GamePk,GameDate,Side,Team,Opponent,Runs,WinPercent,WinMargin2,WinMargin3,LossMargin2,LossMargin3,HomeRuns,Triples,Doubles,Singles,Walks,Strikeouts,HomeRuns0,HomeRuns1,HomeRuns2,HomeRuns3,HomeRuns4,HomeRuns5,Runs0,Runs1,Runs2,Runs3,Runs4,Runs5,Runs6,Runs7,Runs8,Runs9,Runs10,Runs11,Runs12,Runs13,Runs14,Runs15,RunsInning1,RunsInning2,RunsInning3,RunsInning4,RunsInning5,RunsInning6,RunsInning7,RunsInning8,RunsInning9,RunsInningExtra
822828,2026-04-12,A,MIN,TOR,4.593,0.54,0.096,0.302,0.097,0.175,1.483,0.075,1.664,4.777,3.362,9.083,0.216,0.352,0.254,0.113,0.048,0.018,0.043,0.09,0.131,0.133,0.127,0.138,0.111,0.074,0.059,0.039,0.022,0.013,0.007,0.007,0.002,0.004,0.579,0.539,0.578,0.553,0.538,0.431,0.404,0.398,0.348,0.133
823154,2026-04-12,A,HOU,SEA,3.941,0.426,0.089,0.21,0.11,0.279,1.24,0.075,1.426,5.015,2.576,8.553,0.289,0.363,0.22,0.09,0.027,0.012,0.072,0.126,0.143,0.155,0.143,0.102,0.091,0.057,0.046,0.025,0.015,0.01,0.006,0.004,0.002,0.001,0.431,0.386,0.392,0.391,0.385,0.419,0.434,0.419,0.45,0.156
823479,2026-04-12,A,ARI,PHI,4.257,0.436,0.079,0.25,0.113,0.267,0.822,0.152,1.44,6.048,3.532,7.845,0.449,0.349,0.146,0.045,0.008,0.003,0.071,0.123,0.132,0.136,0.132,0.109,0.082,0.073,0.05,0.033,0.022,0.013,0.011,0.003,0.004,0.005,0.466,0.396,0.485,0.435,0.5,0.477,0.43,0.433,0.415,0.115
823804,2026-04-12,A,WAS,MIL,3.667,0.372,0.076,0.179,0.129,0.326,1.012,0.098,1.318,4.784,2.879,9.087,0.37,0.362,0.18,0.065,0.02,0.003,0.097,0.138,0.15,0.163,0.127,0.1,0.072,0.054,0.041,0.025,0.014,0.006,0.006,0.003,0.002,0.002,0.399,0.362,0.382,0.365,0.355,0.4,0.359,0.438,0.389,0.134
823966,2026-04-12,A,TEX,LAD,4.783,0.579,0.118,0.33,0.081,0.158,1.201,0.111,1.606,4.792,4.908,8.998,0.304,0.369,0.197,0.093,0.024,0.012,0.041,0.091,0.122,0.137,0.141,0.114,0.092,0.088,0.056,0.042,0.024,0.015,0.014,0.009,0.005,0.009,0.585,0.563,0.57,0.526,0.491,0.458,0.457,0.456,0.432,0.135
824533,2026-04-12,A,LAA,CIN,3.95,0.456,0.098,0.22,0.099,0.242,1.004,0.065,1.362,4.892,3.864,9.474,0.372,0.36,0.187,0.059,0.015,0.006,0.074,0.12,0.154,0.153,0.138,0.106,0.082,0.068,0.035,0.026,0.017,0.012,0.007,0.003,0.002,0.003,0.45,0.335,0.383,0.405,0.384,0.421,0.426,0.444,0.436,0.173
824859,2026-04-12,A,SF ,BAL,4.255,0.483,0.102,0.261,0.1,0.249,0.821,0.091,1.599,5.655,3.879,8.887,0.44,0.363,0.145,0.042,0.008,0.002,0.062,0.103,0.142,0.141,0.14,0.119,0.09,0.067,0.051,0.034,0.022,0.015,0.005,0.003,0.002,0.003,0.533,0.445,0.495,0.484,0.446,0.399,0.395,0.399,0.385,0.149
822998,2026-04-12,A,NYY,TB ,4.505,0.582,0.122,0.319,0.082,0.163,1.385,0.12,1.501,4.503,3.662,9.246,0.272,0.33,0.222,0.117,0.043,0.016,0.05,0.097,0.13,0.138,0.145,0.119,0.088,0.08,0.058,0.035,0.023,0.015,0.01,0.005,0.004,0.004,0.504,0.385,0.456,0.457,0.431,0.501,0.489,0.513,0.514,0.158
823075,2026-04-12,A,BOS,STL,4.705,0.533,0.113,0.294,0.086,0.233,0.857,0.161,1.787,5.603,4.126,7.029,0.427,0.357,0.161,0.044,0.008,0.003,0.049,0.093,0.115,0.138,0.132,0.114,0.104,0.081,0.063,0.042,0.027,0.016,0.011,0.008,0.002,0.005,0.543,0.491,0.535,0.543,0.478,0.491,0.457,0.438,0.441,0.149
823317,2026-04-12,A,COL,SD ,2.892,0.289,0.072,0.113,0.137,0.378,0.951,0.095,0.946,3.938,2.857,11.654,0.396,0.355,0.177,0.054,0.014,0.004,0.147,0.179,0.187,0.154,0.12,0.071,0.053,0.041,0.022,0.014,0.006,0.004,0.001,0.0,0.0,0.001,0.318,0.256,0.287,0.258,0.302,0.312,0.332,0.334,0.34,0.09
