Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
SYN-605137,C/1B,Josh,Josh Bell,Bell,9.65,0,3100,MIN@TOR,MIN,TOR,,,0,,5,C/1B
SYN-621439,C/1B,Byron,Byron Buxton,Buxton,12.29,0,3300,MIN@TOR,MIN,TOR,,,0,,1,C/1B
SYN-623168,SS,Tyler,Tyler Heineman,Heineman,6.13,0,3000,TOR@MIN,TOR,MIN,,,0,,9,SS
SYN-656484,3B,Tristan,Tristan Gray,Gray,7.67,0,3000,MIN@TOR,MIN,TOR,,,0,,9,3B
SYN-660821,3B,Jesus,Jesus Sanchez,Sanchez,9.4,0,3100,TOR@MIN,TOR,MIN,,,0,,4,3B
SYN-662139,2B,Daulton,Daulton Varsho,Varsho,10.03,0,3200,TOR@MIN,TOR,MIN,,,0,,2,2B
SYN-663616,C/1B,Trevor,Trevor Larnach,Larnach,9.98,0,3100,MIN@TOR,MIN,TOR,,,0,,2,C/1B
SYN-664770,C/1B,Nathan,Nathan Lukes,Lukes,9.01,0,3100,TOR@MIN,TOR,MIN,,,0,,1,C/1B
SYN-665019,OF,Kody,Kody Clemens,Clemens,9.96,0,3100,MIN@TOR,MIN,TOR,,,0,,7,OF
SYN-665489,C/1B,Vladimir,Vladimir Guerrero Jr.,Guerrero Jr.,9.68,0,3100,TOR@MIN,TOR,MIN,,,0,,3,C/1B
SYN-665926,C/1B,Andres,Andres Gimenez,Gimenez,8.5,0,3000,TOR@MIN,TOR,MIN,,,0,,7,C/1B
SYN-670242,C/1B,Matt,Matt Wallner,Wallner,10.51,0,3200,MIN@TOR,MIN,TOR,,,0,,4,C/1B
SYN-672960,3B,Kazuma,Kazuma Okamoto,Okamoto,7.64,0,3000,TOR@MIN,TOR,MIN,,,0,,5,3B
SYN-676391,3B,Ernie,Ernie Clement,Clement,8.26,0,3000,TOR@MIN,TOR,MIN,,,0,,6,3B
SYN-676914,C/1B,Davis,Davis Schneider,Schneider,7.32,0,3000,TOR@MIN,TOR,MIN,,,0,,8,C/1B
SYN-680777,3B,Ryan,Ryan Jeffers,Jeffers,8.49,0,3000,MIN@TOR,MIN,TOR,,,0,,6,3B
SYN-686797,OF,Brooks,Brooks Lee,Lee,8.39,0,3000,MIN@TOR,MIN,TOR,,,0,,8,OF
SYN-807712,3B,Luke,Luke Keaschall,Keaschall,10.81,0,3200,MIN@TOR,MIN,TOR,,,0,,3,3B
SYN-519317,OF,Giancarlo,Giancarlo Stanton,Stanton,9.17,0,3100,NYY@TB ,NYY,TB ,,,0,,5,OF
SYN-592450,SS,Aaron,Aaron Judge,Judge,13.54,0,3400,NYY@TB ,NYY,TB ,,,0,,2,SS
SYN-641355,C/1B,Cody,Cody Bellinger,Bellinger,10.21,0,3200,NYY@TB ,NYY,TB ,,,0,,3,C/1B
SYN-641584,2B,Jake,Jake Fraley,Fraley,6.81,0,3000,TB @NYY,TB ,NYY,,,0,,7,2B
SYN-641857,OF,Ryan,Ryan McMahon,McMahon,7.64,0,3000,NYY@TB ,NYY,TB ,,,0,,8,OF
SYN-650490,OF,Yandy,Yandy Diaz,Diaz,7.71,0,3000,TB @NYY,TB ,NYY,,,0,,4,OF
SYN-656775,SS,Cedric,Cedric Mullins,Mullins,8.12,0,3000,TB @NYY,TB ,NYY,,,0,,5,SS
SYN-663743,2B,Nick,Nick Fortes,Fortes,6.46,0,3000,TB @NYY,TB ,NYY,,,0,,6,2B
SYN-663757,3B,Trent,Trent Grisham,Grisham,10.77,0,3200,NYY@TB ,NYY,TB ,,,0,,1,3B
SYN-665862,OF,Jazz,Jazz Chisholm,Chisholm,10.58,0,3200,NYY@TB ,NYY,TB ,,,0,,6,OF
SYN-666018,C/1B,Jonathan,Jonathan Aranda,Aranda,8.79,0,3100,TB @NYY,TB ,NYY,,,0,,3,C/1B
SYN-669224,C/1B,Austin,Austin Wells,Wells,8.25,0,3000,NYY@TB ,NYY,TB ,,,0,,9,C/1B
SYN-670764,OF,Taylor,Taylor Walls,Walls,6.98,0,3000,TB @NYY,TB ,NYY,,,0,,9,OF
SYN-676609,C/1B,Jose,Jose Caballero,Caballero,8.79,0,3100,NYY@TB ,NYY,TB ,,,0,,7,C/1B
SYN-691406,OF,Junior,Junior Caminero,Caminero,9.18,0,3100,TB @NYY,TB ,NYY,,,0,,2,OF
SYN-700250,OF,Ben,Ben Rice,Rice,9.97,0,3100,NYY@TB ,NYY,TB ,,,0,,4,OF
SYN-802415,SS,Chandler,Chandler Simpson,Simpson,8.9,0,3100,TB @NYY,TB ,NYY,,,0,,1,SS
SYN-810938,C/1B,Ben,Ben Williamson,Williamson,6.22,0,3000,TB @NYY,TB ,NYY,,,0,,8,C/1B
SYN-575929,OF,Willson,Willson Contreras,Contreras,10.65,0,3200,BOS@STL,BOS,STL,,,0,,3,OF
SYN-596115,C/1B,Trevor,Trevor Story,Story,9.78,0,3100,BOS@STL,BOS,STL,,,0,,5,C/1B
SYN-665966,OF,Carlos,Carlos Narvaez,Narvaez,7.83,0,3000,BOS@STL,BOS,STL,,,0,,8,OF
SYN-669357,C/1B,Nolan,Nolan Gorman,Gorman,9.54,0,3100,STL@BOS,STL,BOS,,,0,,5,C/1B
SYN-671056,SS,Ivan,Ivan Herrera,Herrera,10.46,0,3200,STL@BOS,STL,BOS,,,0,,2,SS
SYN-676475,OF,Alec,Alec Burleson,Burleson,9.55,0,3100,STL@BOS,STL,BOS,,,0,,3,OF
SYN-677800,3B,Wilyer,Wilyer Abreu,Abreu,10.15,0,3200,BOS@STL,BOS,STL,,,0,,4,3B
SYN-678882,C/1B,Ceddanne,Ceddanne Rafaela,Rafaela,8.56,0,3000,BOS@STL,BOS,STL,,,0,,9,C/1B
SYN-680776,C/1B,Jarren,Jarren Duran,Duran,11.07,0,3200,BOS@STL,BOS,STL,,,0,,2,C/1B
SYN-686780,3B,Pedro,Pedro Pages,Pages,6.92,0,3000,STL@BOS,STL,BOS,,,0,,8,3B
SYN-687363,SS,Victor,Victor Scott II,Scott II,8.11,0,3000,STL@BOS,STL,BOS,,,0,,9,SS
SYN-691023,C/1B,Jordan,Jordan Walker,Walker,10.01,0,3200,STL@BOS,STL,BOS,,,0,,4,C/1B
SYN-691026,3B,Masyn,Masyn Winn,Winn,7.74,0,3000,STL@BOS,STL,BOS,,,0,,6,3B
SYN-691785,C/1B,Marcelo,Marcelo Mayer,Mayer,8.19,0,3000,BOS@STL,BOS,STL,,,0,,6,C/1B
SYN-695336,OF,Thomas,Thomas Saggese,Saggese,7.19,0,3000,STL@BOS,STL,BOS,,,0,,7,OF
SYN-701350,SS,Roman,Roman Anthony,Anthony,10.81,0,3200,BOS@STL,BOS,STL,,,0,,1,SS
SYN-702332,OF,Caleb,Caleb Durbin,Durbin,8.48,0,3000,BOS@STL,BOS,STL,,,0,,7,OF
SYN-802139,OF,JJ,JJ Wetherholt,Wetherholt,9.66,0,3100,STL@BOS,STL,BOS,,,0,,1,OF
SYN-514888,2B,Jose,Jose Altuve,Altuve,8.69,0,3100,HOU@SEA,HOU,SEA,,,0,,3,2B
SYN-572233,OF,Christian,Christian Walker,Walker,8.76,0,3100,HOU@SEA,HOU,SEA,,,0,,6,OF
SYN-621043,OF,Carlos,Carlos Correa,Correa,8.51,0,3000,HOU@SEA,HOU,SEA,,,0,,4,OF
SYN-641487,3B,J.P.,J.P. Crawford,Crawford,8.16,0,3000,SEA@HOU,SEA,HOU,,,0,,8,3B
SYN-647304,SS,Josh,Josh Naylor,Naylor,9.02,0,3100,SEA@HOU,SEA,HOU,,,0,,4,SS
SYN-663728,C/1B,Cal,Cal Raleigh,Raleigh,10.04,0,3200,SEA@HOU,SEA,HOU,,,0,,2,C/1B
SYN-665161,2B,Jeremy,Jeremy Pena,Pena,9.51,0,3100,HOU@SEA,HOU,SEA,,,0,,1,2B
SYN-668227,3B,Randy,Randy Arozarena,Arozarena,9.26,0,3100,SEA@HOU,SEA,HOU,,,0,,5,3B
SYN-670042,2B,Luke,Luke Raley,Raley,8.81,0,3100,SEA@HOU,SEA,HOU,,,0,,6,2B
SYN-670541,OF,Yordan,Yordan Alvarez,Alvarez,9.41,0,3100,HOU@SEA,HOU,SEA,,,0,,2,OF
SYN-670623,OF,Isaac,Isaac Paredes,Paredes,8.26,0,3000,HOU@SEA,HOU,SEA,,,0,,5,OF
